source,job_id,title,company_name,category,job_type,country,salary_raw,salary_min,salary_max,url,date_posted,pulled_at
Remotive,remotive_1919265,Senior Independent Software Developer,A.Team,Software Development,contract,"Americas, Europe, Israel",$90 - $150 /hour,,,https://remotive.com/remote-jobs/software-development/senior-independent-software-developer-1919265,2026-09-16,2026-09-18
Remotive,remotive_1919266,Senior Independent AI Engineer / Architect,A.Team,Software Development,contract,"Americas, Europe, Israel",$120 - $170 /hour,,,https://remotive.com/remote-jobs/software-development/senior-independent-ai-engineer-architect-1919266,2026-09-16,2026-09-18
Remotive,remotive_2069746,Tech Lead Full-Stack Rails Engineer,Mitre Media,Software Development,full_time,"USA, Canada, USA timezones",$170k - $200k,,,https://remotive.com/remote-jobs/software-development/tech-lead-full-stack-rails-engineer-2069746,2026-09-14,2026-09-18
Remotive,remotive_1680495,Remote Office Assistant,Coalition Technologies ,Marketing,full_time,Worldwide,"$31,2k- $52k",,,https://remotive.com/remote-jobs/marketing/remote-office-assistant-1680495,2026-09-11,2026-09-18
Remotive,remotive_2091126,AI Response Evaluator,iMerit Technology,Artificial Intelligence,freelance,"France, Japan, Turkey, Vietnam, Mexico, Norway",$10K-$20K,,,https://remotive.com/remote-jobs/artificial-intelligence/ai-response-evaluator-2091126,2026-09-11,2026-09-18
Remotive,remotive_2086540,Inside Sales Contractor,"Credit Wellness, LLC",Sales,full_time,Worldwide,OTE $25k - $35k,,,https://remotive.com/remote-jobs/sales/inside-sales-contractor-2086540,2026-09-08,2026-09-18
Remotive,remotive_2091045,Tier III Service Desk Engineer,Unio Digital,Information Technology,full_time,Worldwide,,,,https://remotive.com/remote-jobs/information-technology/tier-iii-service-desk-engineer-2091045,2026-09-07,2026-09-18
Remotive,remotive_1185979,Freelance Writer,IAPWE,Writing,freelance,Worldwide,$50-$75 /hour,,,https://remotive.com/remote-jobs/writing/freelance-writer-1185979,2026-09-04,2026-09-18
Remotive,remotive_1749306,Freelance Copywriter,Coalition Technologies ,Writing,freelance,Worldwide,$20k -$35k,,,https://remotive.com/remote-jobs/writing/freelance-copywriter-1749306,2026-09-02,2026-09-18
Remotive,remotive_2091101,Senior React Full-stack Developer,Lemon.io,Software Development,full_time,"LATAM, Europe, USA, Canada, APAC",,,,https://remotive.com/remote-jobs/software-development/senior-react-full-stack-developer-2091101,2026-08-27,2026-09-18
Remotive,remotive_2091100,Senior QA Engineer,Lemon.io,Quality Assurance,full_time,Europe,,,,https://remotive.com/remote-jobs/qa/senior-qa-engineer-2091100,2026-08-26,2026-09-18
Remotive,remotive_2091099,Senior DevOps Engineer,Lemon.io,Devops,full_time,"LATAM, Europe, USA, Canada, APAC",,,,https://remotive.com/remote-jobs/devops/senior-devops-engineer-2091099,2026-08-25,2026-09-18
Remotive,remotive_2091105,Content Reviewer - English US,TELUS Digital,All others,part_time,USA,$14/hour,,,https://remotive.com/remote-jobs/all-others/content-reviewer-english-us-2091105,2026-08-21,2026-09-18
Remotive,remotive_2091098,Senior Golang Developer,Lemon.io,Software Development,full_time,"Europe, USA, UK, Canada, Australia, Singapore",,,,https://remotive.com/remote-jobs/software-development/senior-golang-developer-2091098,2026-08-20,2026-09-18
Remotive,remotive_2091097,Senior Data Engineer,Lemon.io,Software Development,full_time,"LATAM, Europe, USA, Canada, APAC",,,,https://remotive.com/remote-jobs/software-development/senior-data-engineer-2091097,2026-08-19,2026-09-18
Adzuna,adzuna_5864586827,Servicemonteur Mechatronica | Begin je dag vanuit huis,Profield,Unknown,,NL,,,,https://www.adzuna.nl/land/ad/5864586827?se=lI3jEyez8RGJQ8ghP7HgNA&utm_medium=api&utm_source=8500f1f0&v=CAB55374B2A631BA5E1165446BF20E80A5FD12B7,2026-09-01,2026-09-18
Adzuna,adzuna_5864586823,Servicemonteur Robotica & Automatisering | Start Vanuit Huis,Profield,Unknown,,NL,,,,https://www.adzuna.nl/land/ad/5864586823?se=lI3jEyez8RGJQ8ghP7HgNA&utm_medium=api&utm_source=8500f1f0&v=10928BDB782168A8BBE302DBFCD7AE108B4ACAD7,2026-09-01,2026-09-18
Adzuna,adzuna_5864586819,Servicemonteur Robotica & Automatisering | Start Vanuit Huis,Profield,Unknown,,NL,,,,https://www.adzuna.nl/land/ad/5864586819?se=lI3jEyez8RGJQ8ghP7HgNA&utm_medium=api&utm_source=8500f1f0&v=0A392CF8D9DA5928E72EE7C4C13CF0DEC1FEEE0F,2026-09-01,2026-09-18
Adzuna,adzuna_5864586821,Servicemonteur Robotica & Automatisering | Start Vanuit Huis,Profield,Unknown,,NL,,,,https://www.adzuna.nl/land/ad/5864586821?se=lI3jEyez8RGJQ8ghP7HgNA&utm_medium=api&utm_source=8500f1f0&v=934A77B8B1CFC1C74F6B538C32D675A2FECB2E3C,2026-09-01,2026-09-18
Adzuna,adzuna_5796556982,Thuiswerken in Spanje!,Yource Group,Klantenservice vacatures,,NL,,,,https://www.adzuna.nl/details/5796556982?utm_medium=api&utm_source=8500f1f0,2026-07-11,2026-09-18
Adzuna,adzuna_5403571623,Thuiswerkende Recruiter,Arbeidsmakelaar,Detailhandel vacatures,,NL,,,,https://www.adzuna.nl/details/5403571623?utm_medium=api&utm_source=8500f1f0,2025-09-17,2026-09-18
Adzuna,adzuna_5877204156,Klantadviseur Schade Leeuwarden,Klant Contact Diensten,Unknown,,NL,,,,https://www.adzuna.nl/land/ad/5877204156?se=lI3jEyez8RGJQ8ghP7HgNA&utm_medium=api&utm_source=8500f1f0&v=FF5A5B36421DBEFBBCECBE84A16790CFF7FA27C3,2026-09-09,2026-09-18
Adzuna,adzuna_5877204093,Klantadviseur Schade Leeuwarden,Klant Contact Diensten,Unknown,,NL,,,,https://www.adzuna.nl/land/ad/5877204093?se=lI3jEyez8RGJQ8ghP7HgNA&utm_medium=api&utm_source=8500f1f0&v=F12ECE6EE861EB8351C3DDCD79CF1599E539AC42,2026-09-09,2026-09-18
Adzuna,adzuna_5877204127,Klantadviseur Schade Leeuwarden,Klant Contact Diensten,Unknown,,NL,,,,https://www.adzuna.nl/land/ad/5877204127?se=lI3jEyez8RGJQ8ghP7HgNA&utm_medium=api&utm_source=8500f1f0&v=047D846813547D7AA4AC6B4C16AABF32AE46ACC7,2026-09-09,2026-09-18
Adzuna,adzuna_5877204079,Klantadviseur Schade Leeuwarden,Klant Contact Diensten,Unknown,,NL,,,,https://www.adzuna.nl/land/ad/5877204079?se=lI3jEyez8RGJQ8ghP7HgNA&utm_medium=api&utm_source=8500f1f0&v=F6D36B089A2932FFAC4A8F3FA8F7A724FEB5BB13,2026-09-09,2026-09-18
Adzuna,adzuna_5877204109,Klantadviseur Schade Leeuwarden,Klant Contact Diensten,Unknown,,NL,,,,https://www.adzuna.nl/land/ad/5877204109?se=lI3jEyez8RGJQ8ghP7HgNA&utm_medium=api&utm_source=8500f1f0&v=C904D489F0926E05E9D594AE637696B21846341B,2026-09-09,2026-09-18
Adzuna,adzuna_5877204091,Klantadviseur Schade Leeuwarden,Klant Contact Diensten,Unknown,,NL,,,,https://www.adzuna.nl/land/ad/5877204091?se=lI3jEyez8RGJQ8ghP7HgNA&utm_medium=api&utm_source=8500f1f0&v=4D5F9665F63E3CDDB7AFA860D85075C02408AAD5,2026-09-09,2026-09-18
Adzuna,adzuna_5877204088,Klantadviseur Schade Leeuwarden,Klant Contact Diensten,Unknown,,NL,,,,https://www.adzuna.nl/land/ad/5877204088?se=lI3jEyez8RGJQ8ghP7HgNA&utm_medium=api&utm_source=8500f1f0&v=368E1C6FA38F33319773E808C51647BFCE080E52,2026-09-09,2026-09-18
Adzuna,adzuna_5877204102,Klantadviseur Schade Leeuwarden,Klant Contact Diensten,Unknown,,NL,,,,https://www.adzuna.nl/land/ad/5877204102?se=lI3jEyez8RGJQ8ghP7HgNA&utm_medium=api&utm_source=8500f1f0&v=39269662426AE78104E40F412022C3C213A71F05,2026-09-09,2026-09-18
